Sample ID,Cruise ID,Latitude,Longitude,Binned latitude,Depth (m),Time (UTC),Sampling Method,Volume (L),Metabolomics Workbench ID
S2C3_A,KOK1606,23.596524,-157.955307,23.5362828,15,2016-4-21T01:22:00,niskin,9.5,ST001410
S4C1_A,KOK1606,28.143572,-157.998665,28.142192,15,2016-4-22T15:08:00,niskin,11.5,ST001410
S4C1_B,KOK1606,28.143572,-157.998665,28.142192,15,2016-4-22T15:08:00,niskin,11.5,ST001410
S4C1_C,KOK1606,28.143572,-157.998665,28.142192,15,2016-4-22T15:08:00,niskin,11.5,ST001410
S4C2_A,KOK1606,28.140122,-158.00368,28.142192,15,2016-4-23T01:57:00,niskin,10,ST001410
S4C2_B,KOK1606,28.140122,-158.00368,28.142192,15,2016-4-23T01:57:00,niskin,10,ST001410
S6C1_A,KOK1606,32.583641,-158.00027,32.630110200000004,15,2016-4-24T15:09:00,niskin,11,ST001410
S6C1_B,KOK1606,32.583641,-158.00027,32.630110200000004,15,2016-4-24T15:09:00,niskin,11,ST001410
S6C1_C,KOK1606,32.583641,-158.00027,32.630110200000004,15,2016-4-24T15:09:00,niskin,11,ST001410
S6C2_A,KOK1606,32.699814,-157.993171,32.630110200000004,15,2016-4-25T01:33:00,niskin,10.5,ST001410
S6C2_B,KOK1606,32.699814,-157.993171,32.630110200000004,15,2016-4-25T01:33:00,niskin,10.5,ST001410
U3_A,KOK1606,34.533075,-157.997757,34.533075,15,2016-4-25T19:45:00,underway,15.5,ST001410
U3_B,KOK1606,34.533075,-157.997757,34.533075,15,2016-4-25T19:45:00,underway,15,ST001410
U4_A,KOK1606,35.493484,-158.006387,35.493484,15,2016-4-26T02:33:00,underway,13.5,ST001410
U4_B,KOK1606,35.493484,-158.006387,35.493484,15,2016-4-26T02:33:00,underway,12,ST001410
S8C1_A,KOK1606,37.299396,-158.000717,37.299396,15,2016-4-26T15:10:00,niskin,10.5,ST001410
S9C1_A,KOK1606,36.569491,-158.003614,36.43546514285714,15,2016-4-27T15:12:00,niskin,11.5,ST001410
S9C1_B,KOK1606,36.569491,-158.003614,36.43546514285714,15,2016-4-27T15:12:00,niskin,11,ST001410
S9C2_A,KOK1606,36.567248,-157.999496,36.43546514285714,15,2016-4-28T03:43:00,niskin,10,ST001410
S9C2_B,KOK1606,36.567248,-157.999496,36.43546514285714,15,2016-4-28T03:43:00,niskin,10,ST001410
S11C1_A,KOK1606,36.571243,-157.995725,36.43546514285714,15,2016-4-29T06:40:00,niskin,10,ST001410
U6_A,KOK1606,36.455193,-157.957568,36.43546514285714,15,2016-4-29T10:00:00,underway,10,ST001410
U6_B,KOK1606,36.455193,-157.957568,36.43546514285714,15,2016-4-29T10:00:00,underway,10.5,ST001410
U7_A,KOK1606,36.366833,-157.972134,36.43546514285714,15,2016-4-29T11:14:00,underway,10,ST001410
U7_B,KOK1606,36.366833,-157.972134,36.43546514285714,15,2016-4-29T11:14:00,underway,10,ST001410
U8_A,KOK1606,36.296547,-157.991993,36.43546514285714,15,2016-4-29T12:15:00,underway,10,ST001410
U8_B,KOK1606,36.296547,-157.991993,36.43546514285714,15,2016-4-29T12:15:00,underway,10,ST001410
U9_A,KOK1606,36.221701,-157.998186,36.43546514285714,15,2016-4-29T13:19:00,underway,10,ST001410
U9_B,KOK1606,36.221701,-157.998186,36.43546514285714,15,2016-4-29T13:19:00,underway,10,ST001410
S12C1_A,KOK1606,33.090833,-158.002214,33.090833,15,2016-4-30T15:05:00,niskin,10,ST001410
S12C1_B,KOK1606,33.090833,-158.002214,33.090833,15,2016-4-30T15:05:00,niskin,10,ST001410
S13C1_A,KOK1606,29.700608,-157.999422,29.700608,15,2016-5-01T15:02:00,niskin,10,ST001410
S13C1_B,KOK1606,29.700608,-157.999422,29.700608,15,2016-5-01T15:02:00,niskin,10,ST001410
S14C1_A,KOK1606,26.283176,-157.998902,26.283176,15,2016-5-01T15:02:00,niskin,10,ST001410
S14C1_B,KOK1606,26.283176,-157.998902,26.283176,15,2016-5-01T15:02:00,niskin,10,ST001410
S14C1_C,KOK1606,26.283176,-157.998902,26.283176,15,2016-5-01T15:02:00,niskin,10,ST001410
KM1513-15m_A,KM1513,24.5548,-156.3298,NA,15,2015-07-31T19:54:20,niskin,10.7,ST001372
KM1513-15m_B,KM1513,24.5548,-156.3298,NA,15,2015-07-31T19:54:20,niskin,10.7,ST001372
KM1513-15m_C,KM1513,24.5548,-156.3298,NA,15,2015-07-31T19:54:20,niskin,10.7,ST001372
KM1513-45m_A,KM1513,24.5548,-156.3298,NA,45,2015-07-31T19:54:20,niskin,9,ST001372
KM1513-45m_B,KM1513,24.5548,-156.3298,NA,45,2015-07-31T19:54:20,niskin,9,ST001372
KM1513-45m_C,KM1513,24.5548,-156.3298,NA,45,2015-07-31T19:54:20,niskin,9,ST001372
KM1513-75m_A,KM1513,24.5548,-156.3298,NA,75,2015-07-31T19:54:20,niskin,12.7,ST001372
KM1513-75m_B,KM1513,24.5548,-156.3298,NA,75,2015-07-31T19:54:20,niskin,12.7,ST001372
KM1513-75m_C,KM1513,24.5548,-156.3298,NA,75,2015-07-31T19:54:20,niskin,12.7,ST001372
KM1513-125m_A,KM1513,24.5548,-156.3298,NA,125,2015-07-31T19:54:20,niskin,12.17,ST001372
KM1513-125m_B,KM1513,24.5548,-156.3298,NA,125,2015-07-31T19:54:20,niskin,12.17,ST001372
KM1513-125m_C,KM1513,24.5548,-156.3298,NA,125,2015-07-31T19:54:20,niskin,12.17,ST001372
S7E41D30_1,MGL1704,41.417,-158,NA,30,2017-06-03T19:51:00,niskin,4,ST001409
S7E41D40_1,MGL1704,41.417,-158,NA,40,2017-06-03T19:51:00,niskin,4,ST001409
S7E41D60_1,MGL1704,41.417,-158,NA,60,2017-06-03T19:51:00,niskin,4,ST001409
S7E41D80_1,MGL1704,41.417,-158,NA,80,2017-06-03T19:51:00,niskin,4,ST001409
S7E41D100_1,MGL1704,41.417,-158,NA,100,2017-06-03T19:51:00,niskin,4,ST001409
S7E41D120_1,MGL1704,41.417,-158,NA,120,2017-06-03T19:51:00,niskin,4,ST001409
S7E41D140_1,MGL1704,41.417,-158,NA,140,2017-06-03T19:51:00,niskin,4,ST001409
S7E41D160_1,MGL1704,41.417,-158,NA,160,2017-06-03T19:51:00,niskin,4,ST001409
S7E41D180_1,MGL1704,41.417,-158,NA,180,2017-06-03T19:51:00,niskin,4,ST001409
S7E41D250_1,MGL1704,41.417,-158,NA,250,2017-06-03T19:51:00,niskin,4,ST001409
